name,category,quantity,price
Wireless Mouse,Electronics,45,699
Mechanical Keyboard,Electronics,22,2499
USB-C Cable,Accessories,120,299
Laptop Stand,Accessories,34,1199
Bluetooth Speaker,Electronics,18,1899
Notebook,Stationery,85,60
Ball Pen Pack,Stationery,140,120
Desk Organizer,Office Supplies,28,499
LED Desk Lamp,Electronics,16,899
Water Bottle,Kitchen,55,349
Coffee Mug,Kitchen,40,249
Backpack,Bags,24,1599
Printer Paper,Office Supplies,75,399
Stapler,Office Supplies,33,199
Phone Holder,Accessories,48,249
